quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
-0.090632,0.089585,-0.200281,0.971416,-0.008658,0.001977,-0.007854,0.000144,0.002299,0.000535,0.137744,0.211966,-0.967521,0.1381842183301622
-0.090698,0.089583,-0.200379,0.971389,0.00184,-0.003642,-0.004595,-0.000798,0.002067,1.7e-05,0.137692,0.212107,-0.967498,0.1381307720169048
-0.090692,0.089521,-0.20043,0.971385,0.005061,-0.003752,-0.001848,-0.00024,0.00346,-0.002692,0.137563,0.21208,-0.967522,0.13800152768776994
-0.090668,0.089544,-0.200429,0.971385,0.002444,-0.000724,0.005343,0.000374,0.002521,-0.001455,0.137618,0.212042,-0.967522,0.13805653655721078
-0.090666,0.089545,-0.200404,0.971391,0.001528,-0.002266,0.002247,-0.000981,0.001346,-0.000752,0.137627,0.212034,-0.967523,0.1380649691212272
-0.090665,0.089479,-0.200417,0.971394,0.0034,-0.000901,-0.008176,0.001077,0.000482,-0.001356,0.137498,0.212009,-0.967547,0.13793408157510745
-0.090667,0.08943,-0.200516,0.971378,0.001282,-0.002128,-0.006501,0.001011,0.001333,-0.001779,0.13738,0.212009,-0.967563,0.13781615033380815
-0.0907,0.089473,-0.20054,0.971366,-0.003318,0.004941,0.000951,0.001114,0.001618,-0.002782,0.137444,0.212091,-0.967536,0.13788056487331474
-0.090702,0.089446,-0.200562,0.971364,0.002426,-0.002936,-0.000555,-0.000936,-0.000726,0.000521,0.137387,0.212088,-0.967545,0.13782240857882533
-0.090642,0.089408,-0.200551,0.971375,0.008838,-0.003763,0.001134,6.7e-05,-0.001318,-0.000549,0.137342,0.211956,-0.96758,0.13777617519431876
-0.090572,0.089393,-0.20055,0.971383,0.007896,-0.002946,0.001203,0.000225,-0.000118,-0.00063,0.137341,0.211817,-0.967611,0.13777672775245417
-0.090522,0.089339,-0.200574,0.971388,0.003835,-0.004997,-0.004418,0.000286,0.000339,-0.000662,0.137252,0.211701,-0.967649,0.137687577461325
-0.090525,0.089292,-0.200641,0.971378,-0.003099,-0.002179,-0.005834,0.000509,0.000899,-0.001095,0.137146,0.211699,-0.967664,0.137580131280071
-0.09056,0.08929,-0.200711,0.97136,-0.00633,0.000898,-0.006564,0.000783,0.0006,-0.003376,0.137113,0.211776,-0.967652,0.13754598548665192
-0.090628,0.089326,-0.200782,0.971336,-0.006139,0.003399,-0.004952,0.001054,-0.000475,-0.0033,0.137138,0.21193,-0.967615,0.13757171291589373
-0.090697,0.089399,-0.200841,0.971311,-0.007204,0.004728,-0.004534,0.001168,1.7e-05,-0.001575,0.137236,0.2121,-0.967564,0.1376715922109476
-0.090789,0.089438,-0.200919,0.971282,-0.009028,0.003896,-0.006268,0.000286,0.001869,0.000158,0.137257,0.212304,-0.967516,0.13769123512021317
-0.090897,0.089457,-0.200978,0.971258,-0.012015,-0.002002,-0.004384,0.000522,0.002379,0.000911,0.137236,0.212526,-0.96747,0.1376695200610258
-0.091027,0.089504,-0.200995,0.971238,-0.012506,0.00191,-0.00301,0.001431,0.001395,-0.002109,0.137268,0.212797,-0.967406,0.13770219821232862
-0.091103,0.089546,-0.201071,0.971212,-0.002567,0.003648,-0.007933,0.001704,-0.001682,-0.000504,0.1373,0.21297,-0.967364,0.1377350378495622
-0.091076,0.08956,-0.201187,0.971189,0.008409,0.000984,-0.012879,0.001211,-0.000822,-9.2e-05,0.137314,0.212941,-0.967368,0.13774796264308226
-0.090983,0.089553,-0.201344,0.971166,0.014963,8.1e-05,-0.013495,0.000656,8e-05,-0.00046,0.137304,0.212781,-0.967405,0.13773901391995902
