quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
-0.150972,-0.035081,0.325628,0.932708,-0.021781,0.00184,-0.054128,-0.001058,-0.000832,0.000664,0.03288,0.304472,-0.951954,0.03288668982965717
-0.151123,-0.035172,0.325266,0.932806,-0.022952,0.00205,-0.052487,-0.00146,-0.000717,0.00048,0.032693,0.304818,-0.951849,0.03269886888626708
-0.151472,-0.035435,0.324442,0.933026,-0.024072,-0.00652,-0.041997,1.5e-05,-0.000186,4.4e-05,0.032164,0.305647,-0.951601,0.032169753049658675
-0.151611,-0.035583,0.324178,0.93309,-0.027456,-0.007652,-0.039553,0.000204,-0.002554,0.0006,0.031894,0.306003,-0.951496,0.03189902809944406
-0.151943,-0.035909,0.323699,0.93319,-0.02659,-0.008377,-0.023923,-0.001195,-0.002086,-0.000253,0.031347,0.306831,-0.951248,0.0313528913100535
-0.152075,-0.036072,0.323561,0.93321,-0.031438,-0.012938,-0.020127,-0.000951,-0.000535,0.000103,0.031086,0.307179,-0.951144,0.031090584487746098
-0.152252,-0.036216,0.323472,0.933206,-0.037527,-0.01193,-0.015844,-0.000565,-0.001107,0.000902,0.030905,0.307594,-0.951016,0.030909462451197696
-0.152795,-0.036644,0.323338,0.933147,-0.045638,-0.015621,-0.000226,-0.002141,-0.0027,-4.6e-05,0.030421,0.308857,-0.950622,0.030425075874033026
-0.153029,-0.036888,0.323333,0.933101,-0.049391,-0.019928,0.003495,-0.001741,-0.001044,0.001275,0.030119,0.309436,-0.950443,0.030122747193876292
-0.153732,-0.037473,0.32341,0.932935,-0.063385,-0.023131,0.006292,-0.003169,0.000867,-0.000506,0.029517,0.311082,-0.949925,0.029521473622826998
-0.154013,-0.037705,0.323439,0.93287,-0.069161,-0.023507,0.00422,-0.002804,0.001762,0.000137,0.02928,0.311738,-0.949717,0.02928407999750412
-0.155133,-0.038653,0.323342,0.932679,-0.063936,-0.027617,-0.017251,-0.001142,0.003742,0.00131,0.028221,0.314374,-0.94888,0.02822409326490248
-0.155614,-0.039119,0.323154,0.932645,-0.052882,-0.020738,-0.026708,-0.001764,0.00376,0.002786,0.027605,0.315547,-0.948508,0.027609801298745806
-0.155983,-0.039498,0.322883,0.932661,-0.040108,-0.016267,-0.029373,-0.001697,0.003112,0.002239,0.027053,0.316464,-0.948219,0.027055330210416926
-0.156243,-0.039808,0.322561,0.932715,-0.031881,-0.013498,-0.038759,-0.000719,0.00271,0.001412,0.026537,0.317142,-0.948007,0.026539874722531526
-0.156451,-0.04013,0.322155,0.932807,-0.027831,-0.009293,-0.038435,0.000108,0.000469,0.001721,0.025936,0.317732,-0.947826,0.02593876257594666
-0.156658,-0.040451,0.321749,0.932899,-0.023781,-0.005089,-0.038111,0.000936,-0.001771,0.00203,0.025335,0.318322,-0.947644,0.02533842606188533
-0.156815,-0.040611,0.321464,0.932963,-0.018136,-0.008741,-0.02522,0.000343,-0.000659,0.000725,0.025044,0.318715,-0.94752,0.025046252099070257
-0.157002,-0.040848,0.321145,0.933031,-0.019472,-0.013615,-0.031133,0.000953,-0.001831,0.002008,0.024616,0.319212,-0.947363,0.02461840065648133
-0.157127,-0.041055,0.320885,0.933091,-0.011105,-0.01095,-0.02449,0.000336,-0.000645,0.000707,0.024223,0.319575,-0.947251,0.02422566231421048
-0.157164,-0.041219,0.320708,0.933138,-0.008198,-0.014306,-0.014944,5.9e-05,-0.002149,0.002179,0.023881,0.319749,-0.947201,0.02388374439554573
-0.15722,-0.041424,0.320568,0.933168,-0.012774,-0.008649,-0.018566,0.001552,-0.000944,0.001212,0.023488,0.319983,-0.947132,0.023490459742328978
-0.157276,-0.041544,0.320411,0.933207,-0.006897,-0.006647,-0.016796,0.002057,-0.000768,-0.001676,0.023248,0.320165,-0.947077,0.023249712201290837
-0.157218,-0.041636,0.32028,0.933258,-0.002237,-0.007293,-0.015366,0.001885,0.000273,-0.000645,0.022994,0.32012,-0.947098,0.02299532844837782
-0.157143,-0.041749,0.320131,0.933316,-0.00054,-0.01235,-0.01938,0.001751,0.001082,0.000156,0.022683,0.320058,-0.947126,0.022684617601262533
-0.157067,-0.041862,0.319982,0.933375,0.001157,-0.017406,-0.023394,0.001617,0.001891,0.000957,0.022372,0.319995,-0.947155,0.02237320356396761
-0.156999,-0.042032,0.319765,0.933453,-0.002751,-0.01852,-0.031838,0.001445,0.002257,0.00066,0.021935,0.319983,-0.947169,0.021937537029164754
-0.156968,-0.042248,0.319482,0.933546,-0.003761,-0.017279,-0.033373,0.000872,0.000787,0.000671,0.021417,0.320068,-0.947153,0.02141763573066974
-0.156917,-0.042512,0.31915,0.933656,-0.002974,-0.024439,-0.041822,0.000425,0.000383,0.000327,0.020776,0.320148,-0.94714,0.020778448485195763
-0.156803,-0.04283,0.318692,0.933817,0.000962,-0.033928,-0.066198,0.000296,0.003732,-0.003294,0.019953,0.320149,-0.947157,0.019954283316517836
-0.156688,-0.043148,0.318233,0.933978,0.004898,-0.043416,-0.090573,0.000168,0.007081,-0.006915,0.019129,0.320149,-0.947174,0.019129185742252485
-0.156513,-0.043731,0.317426,0.934255,-0.006633,-0.057767,-0.117976,0.001226,0.004172,-0.004633,0.017651,0.32021,-0.947182,0.017651696911411982
-0.156338,-0.044449,0.316407,0.934596,-0.005078,-0.059303,-0.129688,0.001471,0.003429,-0.000612,0.01585,0.320353,-0.947166,0.015849823539603364
-0.15619,-0.045235,0.315245,0.934976,-0.014999,-0.059024,-0.151262,0.003012,0.006206,-0.000144,0.013889,0.320588,-0.947117,0.013889400955718965
-0.156091,-0.046007,0.313941,0.935393,-0.011002,-0.053703,-0.144905,0.001594,0.003385,0.001718,0.011937,0.3209,-0.947038,0.011937761299994987
-0.155934,-0.046666,0.312736,0.93579,0.001005,-0.04245,-0.12988,0.000596,0.002311,0.004481,0.010193,0.321031,-0.947014,0.010193375090678919
-0.155713,-0.047152,0.31164,0.936168,0.008651,-0.034158,-0.112099,4.1e-05,0.002544,0.003558,0.008769,0.320936,-0.94706,0.008768523931835396
-0.155478,-0.04754,0.310747,0.936484,0.016714,-0.027221,-0.091166,-0.001019,0.002003,0.003645,0.007588,0.32075,-0.947133,0.00758781822321096
-0.155194,-0.047796,0.310015,0.936761,0.018277,-0.020824,-0.081834,-0.001266,0.002607,0.003605,0.006678,0.320394,-0.947261,0.006678127945738579
-0.154932,-0.047973,0.309385,0.937003,0.020458,-0.010366,-0.060877,-0.001029,-0.000489,0.005566,0.005965,0.320029,-0.947389,0.005965619186621733
-0.154657,-0.048017,0.308888,0.937211,0.02844,0.00386,-0.044357,-0.001325,-0.000905,0.00612,0.005539,0.319556,-0.947551,0.0055392899856395224
-0.154379,-0.047869,0.308566,0.93737,0.03515,0.013036,-0.020699,-0.001422,-0.00108,0.003365,0.00553,0.318961,-0.947752,0.005530320158248697
-0.15408,-0.047638,0.308439,0.937473,0.036824,0.012885,-0.007008,-0.00199,-0.000157,0.000983,0.00573,0.318278,-0.94798,0.005729916045989826
-0.153779,-0.047466,0.308351,0.93756,0.028809,0.006743,-0.011146,-0.001561,0.001683,8.4e-05,0.005832,0.317626,-0.948198,0.005831403987690718
-0.153593,-0.047447,0.308103,0.937673,0.021746,0.001819,-0.019907,-0.00185,0.001579,0.000406,0.005666,0.317278,-0.948316,0.005665416803049026
-0.153408,-0.047428,0.307856,0.937785,0.014683,-0.003106,-0.028668,-0.002139,0.001475,0.000728,0.005501,0.316929,-0.948433,0.005500640274809982
-0.153261,-0.047468,0.307591,0.937894,0.008416,-0.003188,-0.026176,-0.001718,0.002009,0.00191,0.005243,0.316687,-0.948516,0.005243527746068638
-0.153189,-0.047524,0.307414,0.937961,0.006398,-0.003797,-0.01892,-0.00156,0.002436,0.002984,0.005034,0.316589,-0.948549,0.005033590620016309
-0.153117,-0.047579,0.307237,0.938028,0.004379,-0.004407,-0.011664,-0.001402,0.002862,0.004059,0.004826,0.316491,-0.948583,0.004825565762067201
